Ticker,Name,Name_ZH,Date_Today,Date_Prev,Volume_Today,Volume_Prev,Pct_Change
1657.HK,SG GROUP HLDGS,桦欣控股,2026-06-17,2026-06-16,23984000,15000,+159793.33%
1703.HK,EASYHOLD GROUP,谊和股份,2026-06-17,2026-06-16,16198000,15000,+107886.67%
6868.HK,TENFU,天福,2026-06-17,2026-06-16,6014000,6000,+100133.33%
0487.HK,SUCCESSUNIVERSE,实德环球,2026-06-17,2026-06-16,20080000,44000,+45536.36%
0575.HK,REGENT PACIFIC,励晶太平洋,2026-06-17,2026-06-16,4366800,13000,+33490.77%
3366.HK,OCT (ASIA),华侨城（亚洲）,2026-06-17,2026-06-16,608000,2000,+30300.00%
1393.HK,HIDILI INDUSTRY,恒鼎实业,2026-06-17,2026-06-16,1022000,4000,+25450.00%
8187.HK,JIMU GROUP,积木集团,2026-06-17,2026-06-16,5045000,25000,+20080.00%
1623.HK,HILONG,海隆控股,2026-06-17,2026-06-16,345000,2000,+17150.00%
1080.HK,SHENGLI PIPE,胜利管道,2026-06-17,2026-06-16,244500,1500,+16200.00%
0379.HK,EG LEASING,恒嘉融资租赁,2026-06-17,2026-06-16,6890001,50000,+13680.00%
0858.HK,EXTRAWELL PHAR,精优药业,2026-06-17,2026-06-16,1130000,10000,+11200.00%
1400.HK,MOODY TECH HLDG,满地科技股份,2026-06-17,2026-06-16,72980000,720000,+10036.11%
1869.HK,KAFELAKU COFFEE,猫屎咖啡控股,2026-06-17,2026-06-16,41557500,500000,+8211.50%
9933.HK,GHW INTL,GHW INTL,2026-06-17,2026-06-16,2020000,28000,+7114.29%
6158.HK,ZHENRO PPT,正荣地产,2026-06-17,2026-06-16,2502000,36000,+6850.00%
1546.HK,THELLOY DEV,德莱建业,2026-06-17,2026-06-16,11976000,176000,+6704.55%
8366.HK,ZJ UNITED INV,浙江联合投资,2026-06-17,2026-06-16,1910000,30000,+6266.67%
0547.HK,DIGITAL DOMAIN,数字王国,2026-06-17,2026-06-16,50809000,845000,+5912.90%
2023.HK,CHINA LUDAO,中国绿岛科技,2026-06-17,2026-06-16,188000,4000,+4600.00%
1529.HK,YUES INTL HLDG,乐氏国际控股,2026-06-17,2026-06-16,262000,6000,+4266.67%
6068.HK,WISDOM EDU INTL,光正教育,2026-06-17,2026-06-16,798000,20000,+3890.00%
1933.HK,ONEFORCE HLDGS,元力控股,2026-06-17,2026-06-16,45086000,1188000,+3695.12%
0235.HK,CSC HOLDINGS,中策资本控股,2026-06-17,2026-06-16,40773616,1120000,+3540.50%
0080.HK,CAI CORP,ＣＡＩ控股,2026-06-17,2026-06-16,640000,20000,+3100.00%
8227.HK,HAITIAN ANTENNA,海天天线,2026-06-17,2026-06-16,2999000,94000,+3090.43%
0913.HK,HARBOUR DIGITAL,港湾数字,2026-06-17,2026-06-16,570000,20000,+2750.00%
0500.HK,FRONTIER SER,先丰服务集团,2026-06-17,2026-06-16,511000,18000,+2738.89%
2393.HK,YESTAR HEALTH,巨星医疗控股,2026-06-17,2026-06-16,282500,10000,+2725.00%
0603.HK,CHINA OIL & GAS,中油燃气,2026-06-17,2026-06-16,14040000,562000,+2398.22%
6196.HK,BANKOFZHENGZHOU,郑州银行,2026-06-17,2026-06-16,76745000,3206000,+2293.79%
0271.HK,ASIASEC PPT,亚证地产,2026-06-17,2026-06-16,191000,8000,+2287.50%
8262.HK,SUPER STRONG,宏强控股,2026-06-17,2026-06-16,230000,10000,+2200.00%
1826.HK,FDB HOLDINGS,丰展控股,2026-06-17,2026-06-16,450000,20000,+2150.00%
3886.HK,TOWN HEALTH,康健国际医疗,2026-06-17,2026-06-16,1136000,51000,+2127.45%
1382.HK,PACIFICTEXTILES,互太纺织,2026-06-17,2026-06-16,14872000,734000,+1926.16%
6839.HK,YUNNAN WATER,云南水务,2026-06-17,2026-06-16,120000,6000,+1900.00%
1977.HK,ANALOGUE HLDGS,安乐工程,2026-06-17,2026-06-16,126000,6500,+1838.46%
1856.HK,ERNEST BOREL,依波路,2026-06-17,2026-06-16,697000,38000,+1734.21%
6833.HK,SINCO PHARMA,兴科蓉医药,2026-06-17,2026-06-16,576000,32000,+1700.00%
1108.HK,TRIUMPH NEW EN,凯盛新能,2026-06-17,2026-06-16,158678000,9042000,+1654.90%
1380.HK,CHI KINGSTONE,中国金石,2026-06-17,2026-06-16,5308400,320000,+1558.88%
1906.HK,BONNY HLDG,博尼控股,2026-06-17,2026-06-16,1780000,110000,+1518.18%
0677.HK,GOLDEN RES DEV,金源发展国际实业,2026-06-17,2026-06-16,476000,30000,+1486.67%
3919.HK,GOLDENPOWER,金力集团,2026-06-17,2026-06-16,308600,20000,+1443.00%
8447.HK,MS CONCEPT,MS CONCEPT,2026-06-17,2026-06-16,430000,30000,+1333.33%
8189.HK,TEDA BIOMEDICAL,泰达生物,2026-06-17,2026-06-16,480000,35000,+1271.43%
1280.HK,QIDIAN GUOFENG,奇点国峰,2026-06-17,2026-06-16,985800,74000,+1232.16%
2188.HK,TITANS ENERGY,泰坦能源技术,2026-06-17,2026-06-16,558000,42000,+1228.57%
8487.HK,ISP GLOBAL,ISP GLOBAL,2026-06-17,2026-06-16,280000,22000,+1172.73%
8221.HK,GAOYU FINANCE,高裕金融,2026-06-17,2026-06-16,315000,25000,+1160.00%
0312.HK,SHIRBLE STORE,岁宝百货,2026-06-17,2026-06-16,142000,12000,+1083.33%
1260.HK,WONDERFUL SKY,皓天财经集团,2026-06-17,2026-06-16,108000,10000,+980.00%
1022.HK,FEIYU,飞鱼科技,2026-06-17,2026-06-16,1780500,165000,+979.09%
0639.HK,SHOUGANG RES,首钢资源,2026-06-17,2026-06-16,74986000,6981344,+974.09%
0306.HK,KWOON CHUNG BUS,冠忠巴士集团,2026-06-17,2026-06-16,106000,10000,+960.00%
8059.HK,GLORY FLAME,朝威控股,2026-06-17,2026-06-16,155000,15000,+933.33%
1726.HK,HKE HOLDINGS,HKE HOLDINGS,2026-06-17,2026-06-16,835000,81712,+921.88%
1718.HK,WAN KEI GROUP,宏基集团控股,2026-06-17,2026-06-16,961500,95000,+912.11%
1650.HK,HYGIEIA GROUP,HYGIEIA GROUP,2026-06-17,2026-06-16,1288000,128000,+906.25%
9689.HK,JTF INTL,金泰丰国际控股,2026-06-17,2026-06-16,120000,12000,+900.00%
0928.HK,KING INTL INV,帝王国际投资,2026-06-17,2026-06-16,13747250,1380000,+896.18%
1443.HK,FULUM GP HLDG,富临集团控股,2026-06-17,2026-06-16,198000,20000,+890.00%
1870.HK,ACME INTL HLDGS,益美国际控股,2026-06-17,2026-06-16,2560000,262500,+875.24%
8462.HK,OMNIBRIDGE HLDG,中安控股集团,2026-06-17,2026-06-16,190000,20000,+850.00%
0422.HK,VMEP HOLDINGS,越南制造加工出口,2026-06-17,2026-06-16,274000,29000,+844.83%
8622.HK,JOYZYME GROUP,愉悦集团,2026-06-17,2026-06-16,296000,32000,+825.00%
2360.HK,BEST MART 360,优品３６０,2026-06-17,2026-06-16,386000,42000,+819.05%
1930.HK,SHINELONG,勋龙,2026-06-17,2026-06-16,512000,56000,+814.29%
8239.HK,CAPITAL FIN,首都金融控股,2026-06-17,2026-06-16,121548,13500,+800.36%
1738.HK,FS ANTHRACITE,飞尚无烟煤,2026-06-17,2026-06-16,1125000,127500,+782.35%
0332.HK,YUANHENG GAS,元亨燃气,2026-06-17,2026-06-16,9580600,1092000,+777.34%
0950.HK,LEE'S PHARM,李氏大药厂,2026-06-17,2026-06-16,2562000,293000,+774.40%
0602.HK,JIAHUA STORES H,佳华百货控股,2026-06-17,2026-06-16,305000,35000,+771.43%
8267.HK,LINEKONG,蓝港互动,2026-06-17,2026-06-16,251000,30500,+722.95%
2111.HK,BEST PACIFIC,超盈国际控股,2026-06-17,2026-06-16,294000,36000,+716.67%
0582.HK,SHIN HWA WORLD,神话世界,2026-06-17,2026-06-16,1957000,240000,+715.42%
2227.HK,SOLIS HOLDINGS,守益控股,2026-06-17,2026-06-16,388000,48000,+708.33%
2383.HK,TOM GROUP,ＴＯＭ集团,2026-06-17,2026-06-16,150000,20000,+650.00%
0348.HK,CHINAHEALTHWISE,中国智能健康,2026-06-17,2026-06-16,1330000,180000,+638.89%
3997.HK,TSO,电讯首科,2026-06-17,2026-06-16,278000,38000,+631.58%
0339.HK,WEBX HOLDING,全球数字控股,2026-06-17,2026-06-16,140000,20000,+600.00%
0280.HK,KING FOOK HOLD,景福集团,2026-06-17,2026-06-16,428000,62000,+590.32%
3989.HK,CAPITAL ENV,首创环境,2026-06-17,2026-06-16,5822000,850000,+584.94%
1890.HK,CHINA KEPEI,中国科培,2026-06-17,2026-06-16,2067992,308000,+571.43%
2886.HK,BINHAI INV,滨海投资,2026-06-17,2026-06-16,188000,28000,+571.43%
1257.HK,CEB GREENTECH,中国光大绿色环保,2026-06-17,2026-06-16,201000,30000,+570.00%
1742.HK,HPC HOLDINGS,HPC HOLDINGS,2026-06-17,2026-06-16,2085000,325000,+541.54%
6989.HK,EXCELLENCE CM,卓越商企服务,2026-06-17,2026-06-16,515000,81000,+535.80%
9928.HK,TIMES NEIGHBOR,时代邻里,2026-06-17,2026-06-16,1206923,195000,+518.93%
0932.HK,SHUNTEN INTL,顺腾国际控股,2026-06-17,2026-06-16,2604000,428000,+508.41%
1134.HK,KELFRED,恒发光学,2026-06-17,2026-06-16,764000,128000,+496.88%
1889.HK,SANAI HEALTH GP,三爱健康集团,2026-06-17,2026-06-16,239100,40400,+491.83%
1953.HK,RIMBACO,RIMBACO,2026-06-17,2026-06-16,14345000,2425000,+491.55%
2283.HK,TK GROUP HLDG,东江集团控股,2026-06-17,2026-06-16,604000,104000,+480.77%
3996.HK,CH ENERGY ENG,中国能源建设,2026-06-17,2026-06-16,117116000,20221000,+479.18%
8095.HK,BEIDA JADE BIRD,北大青鸟环宇,2026-06-17,2026-06-16,3201000,567000,+464.55%
3399.HK,YUEYUN TRANS,粤运交通,2026-06-17,2026-06-16,203000,36000,+463.89%
0827.HK,KO YO GROUP,玖源集团,2026-06-17,2026-06-16,2276000,408000,+457.84%
1939.HK,SHANGSHAN GOLD,上善黄金,2026-06-17,2026-06-16,776000,140000,+454.29%
0210.HK,DAPHNE INT'L,达芙妮国际,2026-06-17,2026-06-16,208000,38000,+447.37%
8611.HK,MINDTELL TECH,九福来,2026-06-17,2026-06-16,520000,95000,+447.37%
0657.HK,G-VISION INT'L,环科国际,2026-06-17,2026-06-16,2678000,494000,+442.11%
1114.HK,BRILLIANCE CHI,BRILLIANCE CHI,2026-06-17,2026-06-16,51978430,9655879,+438.31%
8238.HK,WINTO GROUP,惠陶集团,2026-06-17,2026-06-16,808000,152000,+431.58%
9958.HK,LITIAN PICTURES,力天影业,2026-06-17,2026-06-16,5176000,975000,+430.87%
1632.HK,MSCTECH,民商创科,2026-06-17,2026-06-16,430000,82000,+424.39%
0818.HK,HI SUN TECH,高阳科技,2026-06-17,2026-06-16,519000,102000,+408.82%
1713.HK,SICHUAN EN INV,四川能投发展,2026-06-17,2026-06-16,192000,38000,+405.26%
3398.HK,CHINA TING,华鼎控股,2026-06-17,2026-06-16,208000,42000,+395.24%
0876.HK,KAISA HEALTH,佳兆业健康,2026-06-17,2026-06-16,10770000,2180000,+394.04%
1969.HK,CHINA CHUNLAI,中国春来,2026-06-17,2026-06-16,367000,76000,+382.89%
0581.HK,CHINA ORIENTAL,中国东方集团,2026-06-17,2026-06-16,3128000,654000,+378.29%
3383.HK,AGILE GROUP,雅居乐集团,2026-06-17,2026-06-16,4132000,864000,+378.24%
1057.HK,ZHEJIANG SHIBAO,浙江世宝,2026-06-17,2026-06-16,22642000,4764000,+375.27%
1690.HK,LAP KEI ENGRG,立基工程控股,2026-06-17,2026-06-16,1790000,380000,+371.05%
3390.HK,TYCOON GROUP,满贯集团,2026-06-17,2026-06-16,3766000,800000,+370.75%
3323.HK,CNBM,中国建材,2026-06-17,2026-06-16,430908116,91781669,+369.49%
1581.HK,PROGRESSIVE P,进升集团控股,2026-06-17,2026-06-16,1070000,230000,+365.22%
0574.HK,PASHUN INT'L,百信国际,2026-06-17,2026-06-16,928000,200000,+364.00%
1413.HK,FEG HOLDINGS,铸帝控股,2026-06-17,2026-06-16,1343000,294000,+356.80%
1498.HK,PURAPHARM,培力农本方,2026-06-17,2026-06-16,1279000,283000,+351.94%
2238.HK,GAC GROUP,广汽集团,2026-06-17,2026-06-16,32949515,7305754,+351.01%
1181.HK,TANG PALACE,唐宫中国,2026-06-17,2026-06-16,1369000,308000,+344.48%
2186.HK,LUYE PHARMA,绿叶制药,2026-06-17,2026-06-16,130203000,29693000,+338.50%
1739.HK,QEEKA HOME,齐屹科技,2026-06-17,2026-06-16,595000,137500,+332.73%
1696.HK,SISRAM MED,复锐医疗科技,2026-06-17,2026-06-16,1867200,438400,+325.91%
1425.HK,JUSTIN ALLEN H,捷隆控股,2026-06-17,2026-06-16,680000,160000,+325.00%
0560.HK,CHU KONG SHIP,珠江船务,2026-06-17,2026-06-16,194000,46000,+321.74%
1888.HK,KB LAMINATES,建滔积层板,2026-06-17,2026-06-16,317893061,76409078,+316.04%
8076.HK,SING LEE,新利软件,2026-06-17,2026-06-16,4680000,1130000,+314.16%
2098.HK,ZALL SMARTCOM,卓尔智联,2026-06-17,2026-06-16,412000,101000,+307.92%
2230.HK,MEDIALINK GROUP,羚邦集团,2026-06-17,2026-06-16,120000,30000,+300.00%
1305.HK,WAI CHI HOLD,伟志控股,2026-06-17,2026-06-16,718000,181000,+296.69%
0149.HK,CH AGRI-PROD EX,中国农产品交易,2026-06-17,2026-06-16,895993,226129,+296.23%
1499.HK,OKG TECH,欧科云链,2026-06-17,2026-06-16,1530000,390000,+292.31%
0660.HK,WAI CHUN BIOTEC,玮俊生物科技,2026-06-17,2026-06-16,160000,41000,+290.24%
1854.HK,CHINA WANTIAN,中国万天控股,2026-06-17,2026-06-16,390000,100000,+290.00%
0329.HK,OCI INTL,东建国际,2026-06-17,2026-06-16,728000,188000,+287.23%
1455.HK,FOURACE IND GP,科利实业控股,2026-06-17,2026-06-16,135000,35000,+285.71%
8305.HK,ST HLDGS,圣唐控股,2026-06-17,2026-06-16,4740000,1230000,+285.37%
8311.HK,PERFECT OPT,圆美光电,2026-06-17,2026-06-16,460000,120000,+283.33%
0302.HK,CMGE,中手游,2026-06-17,2026-06-16,1444000,378000,+282.01%
3311.HK,CHINA STATE CON,中国建筑国际,2026-06-17,2026-06-16,21372247,5650000,+278.27%
2187.HK,ZHIXIN GP HLDG,智欣集团控股,2026-06-17,2026-06-16,482000,128000,+276.56%
0873.HK,SHIMAO SERVICES,世茂服务,2026-06-17,2026-06-16,3773000,1009000,+273.93%
0318.HK,VONGROUP,黄河实业,2026-06-17,2026-06-16,130000,35000,+271.43%
0889.HK,DATRONIX HOLD,连达科技控股,2026-06-17,2026-06-16,6612000,1792000,+268.97%
0196.HK,HONGHUA GROUP,宏华集团,2026-06-17,2026-06-16,1210000,331000,+265.56%
3883.HK,CHINA AOYUAN,中国奥园,2026-06-17,2026-06-16,9978000,2742474,+263.83%
1652.HK,FUSEN PHARM,福森药业,2026-06-17,2026-06-16,167000,46000,+263.04%
0357.HK,MEILAN AIRPORT,美兰空港,2026-06-17,2026-06-16,780000,217103,+259.28%
0563.HK,SH IND URBAN,上实城市开发,2026-06-17,2026-06-16,113200,32400,+249.38%
0173.HK,K. WAH INT'L,嘉华国际,2026-06-17,2026-06-16,2985835,857599,+248.16%
1899.HK,XINGDA INT'L,兴达国际,2026-06-17,2026-06-16,235000,68000,+245.59%
1568.HK,SUNDART HLDGS,承达集团,2026-06-17,2026-06-16,310000,90000,+244.44%
0123.HK,YUEXIU PROPERTY,越秀地产,2026-06-17,2026-06-16,17246465,5036503,+242.43%
8527.HK,JLOGO HLDGS,聚利宝控股,2026-06-17,2026-06-16,2105000,625000,+236.80%
6123.HK,YTO INTL EXP,圆通国际快递,2026-06-17,2026-06-16,162000,49000,+230.61%
0365.HK,SINO ICT,芯成科技,2026-06-17,2026-06-16,3576000,1090000,+228.07%
8400.HK,ASIA PIONEER,亚洲先锋娱乐,2026-06-17,2026-06-16,130000,40000,+225.00%
8143.HK,GF HEALTHCARE,金威医疗,2026-06-17,2026-06-16,226400,70000,+223.43%
9987.HK,YUM CHINA,百胜中国,2026-06-17,2026-06-16,2159498,670163,+222.23%
1094.HK,CHERISH SUN,承辉国际,2026-06-17,2026-06-16,128000,40000,+220.00%
8168.HK,AMASSE CAPITAL,宝积资本,2026-06-17,2026-06-16,600000,190000,+215.79%
8042.HK,KOS TALENT GP,高奥士人才集团,2026-06-17,2026-06-16,630000,200000,+215.00%
0617.HK,PALIBURG HOLD,百利保控股,2026-06-17,2026-06-16,452000,144000,+213.89%
0586.HK,CONCH VENTURE,海螺创业,2026-06-17,2026-06-16,19830500,6415000,+209.13%
1068.HK,YURUN FOOD,雨润食品,2026-06-17,2026-06-16,1686436,548000,+207.74%
9982.HK,CENTRALCHINA MT,中原建业,2026-06-17,2026-06-16,4257333,1384000,+207.61%
0334.HK,CH DISPLAY OPT,华显光电,2026-06-17,2026-06-16,688000,224000,+207.14%
0259.HK,YEEBO (INT'L H),亿都（国际控股）,2026-06-17,2026-06-16,4700400,1532000,+206.81%
0579.HK,JNCEC,京能清洁能源,2026-06-17,2026-06-16,18212000,5996000,+203.74%
8365.HK,HATCHER GROUP,亦辰集团,2026-06-17,2026-06-16,1514600,500000,+202.92%
6969.HK,SMOORE INTL,思摩尔国际,2026-06-17,2026-06-16,26397307,8841687,+198.56%
2342.HK,COMBA,京信通信,2026-06-17,2026-06-16,9337368,3132000,+198.13%
3603.HK,XINJI SHAXI,信基沙溪,2026-06-17,2026-06-16,1419000,495000,+186.67%
0052.HK,FAIRWOOD HOLD,大快活集团,2026-06-17,2026-06-16,428000,149500,+186.29%
8120.HK,CH DEMETER FIN,国农金融投资,2026-06-17,2026-06-16,200000,70000,+185.71%
1778.HK,COLOUR LIFE,彩生活,2026-06-17,2026-06-16,217000,77000,+181.82%
0862.HK,VISION VAL-NEW,远见控股（新）,2026-06-17,2026-06-16,933000,333800,+179.51%
1773.HK,TIANLI INT HLDG,天立国际控股,2026-06-17,2026-06-16,11937000,4340000,+175.05%
1978.HK,LH GROUP,叙福楼集团,2026-06-17,2026-06-16,582000,212000,+174.53%
1830.HK,PERFECT MEDICAL,完美医疗,2026-06-17,2026-06-16,1080975,397733,+171.78%
2051.HK,VALA,VALA,2026-06-17,2026-06-16,4450000,1641050,+171.17%
1618.HK,MCC,中国中冶,2026-06-17,2026-06-16,10206000,3764000,+171.15%
0045.HK,HK&S HOTELS,大酒店,2026-06-17,2026-06-16,132500,49000,+170.41%
0398.HK,ORIENTAL WATCH,东方表行集团,2026-06-17,2026-06-16,510000,189120,+169.67%
1432.HK,CHINA SHENGMU,中国圣牧,2026-06-17,2026-06-16,1899000,705000,+169.36%
0520.HK,XIABUXIABU,呷哺呷哺,2026-06-17,2026-06-16,1877726,707000,+165.59%
0989.HK,CHINA CBS INTL,中国长白山国际,2026-06-17,2026-06-16,180000,68000,+164.71%
2219.HK,CHAOJU EYE CARE,朝聚眼科,2026-06-17,2026-06-16,411000,155500,+164.31%
1733.HK,E-COMMODITIES,易大宗,2026-06-17,2026-06-16,1149250,436750,+163.14%
8271.HK,GDC,环球数码创意,2026-06-17,2026-06-16,426000,162000,+162.96%
1681.HK,CONSUN PHARMA,康臣药业,2026-06-17,2026-06-16,2817000,1079100,+161.05%
2348.HK,DAWNRAYS PHARMA,东瑞制药,2026-06-17,2026-06-16,104000,40000,+160.00%
0806.HK,VALUE PARTNERS,惠理集团,2026-06-17,2026-06-16,2886000,1116000,+158.60%
0511.HK,TVB,电视广播,2026-06-17,2026-06-16,661600,257000,+157.43%
1085.HK,HXTL,亨鑫科技,2026-06-17,2026-06-16,404000,158000,+155.70%
0899.HK,ZHONG JIA GX,中加国信,2026-06-17,2026-06-16,940000,370700,+153.57%
3382.HK,TIANJINPORT DEV,天津港发展,2026-06-17,2026-06-16,4874000,1938000,+151.50%
3680.HK,RUIHE DATA,瑞和数智,2026-06-17,2026-06-16,1242000,494000,+151.42%
0384.HK,CHINA GAS HOLD,中国燃气,2026-06-17,2026-06-16,28522725,11378462,+150.67%
0882.HK,TIANJIN DEV,天津发展,2026-06-17,2026-06-16,940000,376000,+150.00%
0591.HK,C HIGHPRECISION,中国高精密,2026-06-17,2026-06-16,1022000,412000,+148.06%
0632.HK,CHK OIL,中港石油,2026-06-17,2026-06-16,3202000,1292000,+147.83%
3658.HK,NEW HOPE SERV,新希望服务,2026-06-17,2026-06-16,517000,209000,+147.37%
0040.HK,GOLD PEAK,金山科技工业,2026-06-17,2026-06-16,106000,43000,+146.51%
6885.HK,JINMA ENERGY,金马能源,2026-06-17,2026-06-16,285000,116000,+145.69%
0255.HK,LUNG KEE,龙记集团,2026-06-17,2026-06-16,156000,64000,+143.75%
3818.HK,CHINA DONGXIANG,中国动向,2026-06-17,2026-06-16,1583000,651000,+143.16%
8635.HK,ELEPHANT HLDGS,大象控股集团,2026-06-17,2026-06-16,1244000,512000,+142.97%
0738.HK,LE SAUNDA,莱尔斯丹,2026-06-17,2026-06-16,170000,70000,+142.86%
3600.HK,MODERN DENTAL,现代牙科,2026-06-17,2026-06-16,674690,279999,+140.96%
1520.HK,VIRTUAL MIND,天机控股,2026-06-17,2026-06-16,1141000,474000,+140.72%
0064.HK,GET NICE,结好控股,2026-06-17,2026-06-16,223200,94395,+136.45%
2139.HK,BANK OF GANSU,甘肃银行,2026-06-17,2026-06-16,1399000,592000,+136.32%
8217.HK,JU FU TANG BIOT,菊福堂生物,2026-06-17,2026-06-16,435000,184375,+135.93%
8491.HK,COOL LINK,COOL LINK,2026-06-17,2026-06-16,4290000,1835000,+133.79%
1025.HK,KNT HOLDINGS,嘉艺控股,2026-06-17,2026-06-16,7188000,3088000,+132.77%
9983.HK,CC NEW LIFE,建业新生活,2026-06-17,2026-06-16,1258000,542000,+132.10%
3389.HK,HENGDELI,亨得利,2026-06-17,2026-06-16,2848000,1228000,+131.92%
1201.HK,TESSON HOLDINGS,天臣控股,2026-06-17,2026-06-16,2134200,927000,+130.23%
2126.HK,JW THERAP-B,药明巨诺－Ｂ,2026-06-17,2026-06-16,1367000,594000,+130.13%
0997.HK,CHINLINK INTL,普汇中金国际,2026-06-17,2026-06-16,184000,80000,+130.00%
0711.HK,ASIA ALLIED INF,亚洲联合基建控股,2026-06-17,2026-06-16,558000,244000,+128.69%
0655.HK,HK CHINESE LTD,香港华人有限公司,2026-06-17,2026-06-16,494000,218000,+126.61%
0258.HK,TOMSON GROUP,汤臣集团,2026-06-17,2026-06-16,598000,263894,+126.61%
8198.HK,CRYPTO FLOW,加幂科技,2026-06-17,2026-06-16,1072000,476000,+125.21%
1026.HK,UNIVERSAL TECH,环球实业科技,2026-06-17,2026-06-16,270000,120000,+125.00%
1528.HK,RS MACALLINE,红星美凯龙,2026-06-17,2026-06-16,4610800,2053400,+124.54%
1884.HK,EPRINT GROUP,ＥＰＲＩＮＴ集团,2026-06-17,2026-06-16,188000,84000,+123.81%
2314.HK,LEE & MAN PAPER,理文造纸,2026-06-17,2026-06-16,4531220,2031000,+123.10%
0220.HK,U-PRESID CHINA,统一企业中国,2026-06-17,2026-06-16,9062868,4073300,+122.49%
1660.HK,SEVEN ELEMENTS,七元投资,2026-06-17,2026-06-16,8424000,3792000,+122.15%
2607.HK,SH PHARMA,上海医药,2026-06-17,2026-06-16,4833200,2177400,+121.97%
1643.HK,MODERN CHI MED,现代中药集团,2026-06-17,2026-06-16,1161000,525000,+121.14%
0451.HK,GCL NEWENERGY,协鑫新能源,2026-06-17,2026-06-16,3906578,1779099,+119.58%
